x	y
I hv reminders in my clock which i can snooze 2-3 times. Is it possible with haptik?	Found
I want to call Shri Yadav ji at 03 pm	Found
Need this above reminder of johnson now weekly	Not Found
Set reminder for everyday	Not Found
Remind me to buy tatkal ticket	Found
Hi, i would like to deactivate the reminders	Found
Can you remind me on 22nd that I have to fill SSC form?	Found
Will u plz remind me today at 7:30 am	Not Found
Ok and i want reminder regarding meeting with sales tax officer by 1 pm tomorrow	Found
31st jan remind me for marriage ceremony	Found
Also i need a reminder on Saturday that is 12 November at 3pm for donating laveena's money and get her prashad	Found
Remind me to go to a doctor at 4pm	Found
Also remind me to at 11.15 am tomorrow to collect Hong Kong forms from RCT	Found
February 8	Not Found
And daily reminder it will same	Found
I want to know about refer and earn	Found
alarm at 6:40	Not Found
Remind me to drop the cheque on drop box	Found
Yeah...it was good..I would like to set the reminder for everyday	Not Found
remind tomorrow morning at 8:30 am to give one half veg to chembur....n ...half chicken to juhu	Found
Remind me later	Not Found
Yeah plz remind me otherwise I'll again hv sex without condom	Found
Remind me at 5:30 that I have to go for jogging	Found
I haven't had any reminder from you as yet.. but I hope it works good. So rated 5	Found
Remind me Blood Donation on 26th Dec at 12.30 pm	Found
Set an alarm after 2 mins	Not Found
Alarm set	Not Found
I want this to be scheduled for everyday	Not Found
Reminder for marriage on 9 dec varun boss shadi at 3:30 pm	Found
Set a reminder to watch a movie today at 7 13 pm	Found
Nov 20th Sunday my Frnd Chanchal birthday.. Can u just remind me before 1day	Not Found
Can you remind me to eat food	Found
Remind me to visit city hospital at 1pm today	Found
Can you schedule this for 1 hour	Not Found
I need to set 3 reminder s on different date	Found
Reminder only day time morning 10to10pm	Not Found
Please remind me to wash clothes at 5 pm	Found
REMIND ME TO PAY ELECTRIC BILL ON 2/1/17	Found
Yah sure mamoon	Not Found
Please change the previous reminder to 10 january	Not Found
Will you remind me about stock market downs or up as told by me	Found
Light about that	Not Found
Ty	Not Found
Please remind me to pick sanika at 6.15 pm today	Found
Reminder for tomorrow 11 O'clock a.m allotting glonet Container	Found
What about ATM transaction limit...?	Found
Scheduled alarm	Not Found
Remind me to pay 1620 rs by tomorow evening 8 pm	Found
N about phone	Found
Remind me to buy dis med ,movon p,voglikem0.3,zolfresh,amlopress TL,zoryl m2,at 8 pm	Found
Remind me to take calci please	Found
Hi I expected a call	Not Found
remind me yearly	Not Found
Okay please put the subject like "envelopes" to know about the reminder	Found
I set a reminder just before i tooks only 15mins	Not Found
Can I set more than one alarm	Not Found
Could you please remind me tomorrow at 12 pm	Not Found
remind me to at 10 am to bring gajar, sugar, khowa and milk for vajar halwa	Found
Need a reminder today 8 am	Found
09.00 hrs	Not Found
Give me call at 8.05 am also	Found
Remind me to take backup of nas	Found
Remind me to prepere a card at 7:30 pm today	Found
set a reminder 6.00 pm	Not Found
Reminder band kar do	Not Found
remind me tomorrow by 12 noon to go to the laundry and cut my nails also	Found
Please remind me to pay HSBC insurance on 10th Jan	Found
I set two reminder	Not Found
I want to set a new to do	Found
Please send me reminders from tomorrow	Found
Can u keep my reminders only monday to friday	Not Found
Remind me to listen a song	Found
General Reminder ?	Not Found
Pls set me reminder on 9th Dec @ 11 Am	Found
Please reminder me at 1.40 pm	Not Found
Giv me infomation about withdrawal n depoait of notes	Found
When is my next reminder	Found
Hi Sayali. Good evening. I need a reminder tomorrow attending dental appointment	Found
My tomorrows meeting is pre post on today so remind me for the same	Found
Reminder comes only when I open the app	Found
Set the reminder for Monday please at 9 pm	Not Found
Nothing. Thanks for alarm.	Found
i want a reminder to eat my breakfast	Found
Remind me 2 have bath in an hour	Found
Remind me at 8.30pm today	Not Found
Or muje reminder bandh karna ho to ???	Not Found
Call on my number or on the application alarm will ring	Found
Can you remind me again in 1 hour	Not Found
Remind me to brush	Found
Remind me a day before	Not Found
More birthday remainder	Not Found
Vitamin D3 reminder on 1st Dec at 9 PM	Found
Remind me to reply mails at 4 thanks	Found
Remind me after 2minutes	Not Found
Call me at 11:59 on 15 november	Found
And remember everyday	Not Found
Hi Khushboo. Pl remind me today at 11 to go to army canteen.	Found
Please remind me about the Thaikudumbridge event on 16th december	Not Found
Reminder to do trf bank	Found
Reminder to study	Found
Do you have anything for group reminders?	Found
can you please set a reminder	Not Found
Remind me of gate class @ 5:30pm	Found
Remind me for paying thr electricity and phobe bills of this and last month today	Found
I want reminder for every one hour	Not Found
Want to know about you 😝	Not Found
Remember me to switch on the light	Found
Remind me to Brush	Found
Pls remind me at 5 pm to wish kirti's b'day	Found
But... that is diff reminder..	Found
Need to be reminded to go for a walk at 6 pm	Found
93-55-413999 mr. Virmani remind me to cl him after 15 days	Found
Will ring some sound to remind me	Found
Reminder for bike insurance	Found
Remind me to flyt chckin on 27 dec	Found
Remind me of printing at 12:30 pm	Found
Set one more for 4:30	Not Found
Pls remind me to carry aadhar card tomm	Found
How will you remind?	Found
I was set reminder for 4 am	Not Found
Remind me to study within 5 minutes	Found
8pm and 9pm and 10pm	Not Found
Reminder should be in the form of alarm and it should continue to ring until I snooze..	Found
Can you provide some info about the 500&1000 notes matter going on	Found
Remind me to post the collage I made on instagram tomorrow. Remind me at 5p.m and also 8:30 pm.	Found
Remind me to 'Meet RAM with last 4 years financial increment chart'. Remind me on 26,27,28 Jan at 10 am and 9 pm	Found
Remind me to book my train tickets on 18th December 2016	Found
Im getting better at it. Thank you. Can we reduce the reminders?	Found
Can you remind me at 12 that I have a lunch date at 12.30 pm tomorrow?	Found
Hey set me a alarm for 3:00am today	Not Found
Remind me to pay the maid at 11.45 today	Found
Put this reminder for every day	Not Found
Remind me on 8th Nov 11:30pm for Rashi's birthday	Found
Allright	Not Found
Everyday remind me	Not Found
Remind me at 8.15pm	Not Found
12:00 AM	Not Found
Can you remember me at 3pm	Not Found
Thanks a lot for continuously reminding me.	Found
Yes today	Not Found
Heard about the SMS blocking service.	Found
thanks for the all reminders..	Found
Remind me today 7 pm to swipe the card	Found
Alert	Not Found
I need u to plan me a schedule for daily routine activities	Found
can u giv me a fake call now	Not Found
Reminder today at 11 Pm to take tie for sure a must	Found
Please do remind me to get 250 from mom for the pass tomorrow	Found
I forget usually :(	Found
9033736755	Not Found
Set an alarm for 7am today	Not Found
Call at 6:15	Found
Remind me to visit the acads at 5 pm today	Found
Plz remind me for interview scheduling by 1:30 pm	Found
Pls remind by 6	Not Found
When u r the calling	Not Found
Can we set this up for all weekdays	Not Found
Reminder lagado Task:Wham app kholne ke liyr Time:5:42 pm Date:today	Found
Could you remind me to web check in on 12th JANUARY 2017	Found
Yes it did help. Pls remind everyday	Not Found
Also do I need to be online always to receive reminders?	Found
remind me to study at 4pm	Found
Too late reminder	Not Found
Please mention that the reminder is for envelope	Found
Hi Pooja , thanks for taking utmost care in reminding me ...Thank you very much.	Found
Reminder for diet	Found
And one more more reminded I want to set at 10:10pm today for bringing toothpaste at home	Found
Remind for katyal	Not Found
Tell me something about hotstar app	Found
WHATS THE REMINDER TIME???	Not Found
set 3 reminders at the interval of 10 mins at 12:10 Pm today.	Not Found
Can you call me today at 6 pm for meeting	Found
Reminder for what??	Found
Remind me To talk to jones about Sam's Birthday party	Found
1st jan Tds 39600 pay Remind me at 11 a.m	Not Found
Set remainder	Not Found
Can you please tell me how I removed calls	Found
Hello please remind me tomorrow at 11 Am for ID CARD collection	Found
Aj raat 9,15pm mujhe remind karna	Not Found
Remind to take my toothbrush	Found
Pls remind me at 9.30 to leave for theatre	Found
Remind me to do CV at 3.30pm and 4pm today	Found
I want a reminder on Sunday a day before	Not Found
Remind me by 9:30pm to add lnt infotech job in my excel file in my laptop	Found
Add a remainder at 7.50 and 7.55 in it and also 8.05 in it	Not Found
Good morng	Not Found
Do you send the Birth day wish to the birthday boy directly to the Singapore time	Not Found
Meeting Reminder Date: November 18, 2016 Time: 5 55 p.m. Meeting with: Pallabi Venue: DB KT	Found
Don"t call me.	Found
remind me to change my idea subscription on 19th of this month	Found
Remind me to take 1500 balance @17:00 clock	Found
Remind me tomorrow to talk to Ramesh	Found
Remind me 6.30 p.m on Saturday ⌚	Not Found
10:00 am	Not Found
Give me 2 calls one after the other	Found
Remind me for traveling to bandra terminus on 17 nov at 4 pm by calling me	Found
And remind me to buy dettol and gram @9:30	Found
Can you remind daily ?	Not Found
Can u remind me that i have to fuck my wife tomorrow at 6 pm	Found
Can you change title msg?	Not Found
call pavitra on her birthday today at 1115	Found
Could you postpone this reminder on 4th dec	Not Found
Hi, Kindly remind me on 10 november 9:30 am for registration of creta	Found
After 2 min remind me to coffee	Found
Remind me to talk fees for maths tution at 3 pm on 9.11.16 that is tomorrow	Found
Can you remind me at 8 pm today that i have a cigarette in my pocket	Found
11 dec my bua's birthday	Found
Can you remind me to collect the hall ticket for jlpt exam on Thursday	Found
I want to set one reminder	Not Found
For the past week I haven't received any reminder which was set	Not Found
I want same reminder at 4 pm also	Not Found
Can you remind me for reading	Found
I want to be reminded about it everyday	Not Found
Thank-you so much for the reminder	Not Found
Remind me on 11/11 to shop on aliexpress	Found
Oops sorry..I just wrote wrong..its 12PM to 11PM..	Not Found
Thanks vanisha for reminder	Not Found
Remind me about going out	Found
Make wakeup reminder today at 4:50am	Found
Remind me tomorrow to write the society cheque	Found
For reminder alert	Not Found
Remind 6.30	Not Found
Her birthday is today and I want to wish her after 5 pm	Found
Hi i need to alter my remainder	Not Found
Pls set an alarm for me	Not Found
Nops	Not Found
Remind me to recharge my mobile on 30th of this month	Found
Remind me to look for meera's glasses at 4 pm tomorrow.	Found
Is internet connections needed for setting reminders	Found
What do you think about vulgarity?	Found
Thank you! Am liking the reminders	Found
Reminders are coming in app. It should come on my phone screen	Found
You will remind me for what?	Found
I'd like it if the reminders were sent without the picture/meme	Found
Remind I take a print at today 5 pm	Found
Will a Alarm ring or what kind of reminders is this ?	Found
Hi, thankyou very much for the reminders. Now on, I won't be needing these :)	Found
Call on 8890031716	Found
Call me at 2:21 am	Not Found
CALL BINU BIJU AT5PM TODAY	Found
Karkandu distribution on Thursday	Found
Thanks fr all the reminders	Found
Hi, can you remind me at 9pm to wash my face?	Found
Hi pls remind to buy Oil Ultidurm tomorrow around 1	Found
26 of November get together. ..at 5	Found
Schedule it as interview preparation	Found
Hi can u remind me to fill up some Important forms and submit	Found
Thanks for reminding me every 30 minutes, okay I need a change instead of every 30 minutes set as every 120 minutes starting from 8 am to 10 pm	Found
Call Aunty tomarrow	Not Found
I want to know about aircel rate cutter	Found
I am again getting haptik calls from shradhay	Found
Remind me today evening 8.30 pm that I need to get my bank details	Found
Hi.. Remind me to take banana morning at 8.45	Found
Please do call twice at 5.30 and 5.35 as well	Not Found
Remind me at 10 am everyday to give food to tortoise	Found
Remind me to pay joshua 700 rs	Found
Set me reminder to fill form of exams	Found
Meeting Reminder Date: November 15, 2016 Time: 6 30 PM Meeting with: Geekyranjith	Not Found
Call Kashif for sure tomorrow at 11 am	Found
can u remind me to wear uniform every first Monday of a month?	Found
All 4 reminder set?	Not Found
Remind me tomorrow to take key before going to office.	Found
Anjali..is there any way to put alarm?	Found
How do you do that?	Not Found
Remainder	Not Found
Sorry I need every reminder 4 hrs before please	Not Found
Shraddha 4.30 alarm plz..😉😉	Not Found
Can set reminder for this sat 8 pm for biryani order for Oshiwara store	Found
I want to know about a website can you help me with it	Not Found
Good morning Can I tell me . Konsi bank me bhid ni hogi....	Found
Hi. Pls remind me to produce the mini marathon spot at 1030 am today.	Found
Tuesday remind me in morning 11am that i have a meeting with sparkle clinic @5.30	Found
Can u set a reminder when I reach a particular location	Found
Hi.. Would you please remind me on 20th December to close my meet up subscription	Found
Càncel my alarm that is fixed for morning	Found
Reminder for today's dineer	Found
Single special reminder?	Not Found
Basically 2 calls	Not Found
Tomorrow at 9 remind me to deposite the cheque	Found
Remind me that I have to repair my slippers at around 7 pm	Found
Hey please remind me to buy physics practical file, physics manual and of forms... At 12.	Found
How will you remind me ? Through a message ??	Found
Message the remainder	Not Found
Thanks shraddha for reminder.	Not Found
Now make daily alarm at 11:00 pm for teeth brush.	Found
Can it be set for daily	Not Found
Thanks for the reminder.	Not Found
Set reminder for 29 december 8-30 Am for driving school	Found
Remind me to complete the message I was preparing on relationship on 1Sam20:1-42 Time. 2pm Date.... Today 27 November	Found
Tomorrow 4 pm remind me to talk Dhirubhai	Found
Remind me to fuck you	Found
Thank for remind	Not Found
Remind me to go to income tax office tomorrow @10.45am	Found
Remind me to 'Laundry' at 9 15 AM on 29-12-2016	Found
Again remind me at 12afternoon today for a matress	Found
Hi, I wish to discontinue this reminder now.	Found
Pls remind me after 1 hour	Not Found
You may assist me as about notebandi	Found
Thankew for reminding shraddha	Found
Hi I wanted to set a reminder for a couple of grocery things that I want to buy today	Found
Thank you for remind me	Not Found
Meeting Reminder Date: November 17, 2016 Time: 3 00 p.m. Meeting with: Hair dresses	Found
I am in party. Please remember me to go to home at 9 pm	Found
i am getting unscheduled calls everyday pls stoo it	Not Found
Remind me to add benificiary after 24 hours to UBI account of SHEKHAR ICICI	Found
Please remind me for face pack	Found
Remind me about my doc appointment tom at 11am	Found
Frequency of Reminders: 30 minutes	Not Found
Remind me at3:45 to go to Manea at 4	Found
Remind me to send products catalogue to popat raja	Found
3 pm set a reminder	Not Found
Reminder To Watch Porm	Found
06:00 AM	Not Found
Thanks :-)	Found
Thanks for remind me....have a good day ahead	Found
Remind me tomorrow at 11am to book the tatkal tkt	Found
Set a general reminder for 10 pm tonight please .	Not Found
I need to sex by 10pm remind me	Not Found
Reminder on Sunday 8.30 am and 9 am	Not Found
What is the mode to remind me?	Found
Remind me after 20 mins to do laughing	Found
Pleaae discontinue this reminder.	Not Found
Okay. This is the first time that I'm setting up a task in reminder channel.	Found
Remind me jogging in 20 mins	Found
Reminder to send cv for SIP at 3.30 PM	Found
Remind me by friday that i have to submit my weekly project report to my organization	Found
Can I synchronise birthday of my friends from Facebook to this remainder???	Not Found
You have set it as daily alarm right	Not Found
Ok thanks ok bye take care I have some work new reminder for me at schedule that I should do at a time homework I want first two hours homework homework and then 2 hours playing then going to Tution then I want the least 2 days and this schedule should be cancelled after 2 days	Not Found
Set up both of them	Not Found
Ok. Remind me after 3 minutes that i need to go to study for a while	Found
Remind me today evening at 03:00 pm to leave office to pack the luggage and catch the flight	Found
98-12-280122 Remind me to mr. Abhay Arora on Monday at 11am	Found
I should call judge husband at 8.30	Found
Remind me to ommorrow	Not Found
Can you put a reminder for my friend too?	Found
Yes if possible please keep this as reminder for everyday	Not Found
I want to set another alarm	Found
Remind me for newspaper tomorrow 4pm.	Found
Can you tell me how to compliant about tele marketing company	Found
Tanx for remind	Not Found
Can u remember me. At. Today..5:00pm	Not Found
Thank-you for reminding me	Found
Ok thanq shilpa. But u have to remind me at jan28th midnight.	Not Found
Reminder Tomorrow at 8am for yoga	Found
Please put a reminder for me. Time 4 pm to 5.50 pm today. Interval 10 minutes. Reminder DISCUSSION WITH A STARTUP REGARDING THE USE OF ARTIFICIAL INTELLIGENCE IN EDUCATION PROFILING.	Found
Remind me for my brothers reservation today at 3 pm	Found
Thanks there were punctual reminders😊. Yes I would like to be reminded daily	Not Found
of which reminder ?	Not Found
Plz remind me on 17.11.2016 for rent payment at 8.0pm	Found
After this reminder	Not Found
Could this call can be stopped?	Not Found
I need a reminder at 7.45am at 17th November	Not Found
Tysm.. can u call twice pls	Found
Umm okay	Not Found
Chaya: you have got the reminders wrong	Found
Set a rimender for tomorrow ...at 2:00 pm and 10:00 pm	Found
Plz remind me for tk vegetables from ofc at 5 o clock	Found
Remind me of Sending someone my cheque book	Found
Pit ring in oil	Found
Remember Housify	Not Found
Kindly set the same reminder for 12:45	Not Found
Remind me on Monday 11am for Shivendra Payment	Found
Can you set reminder?	Not Found
The reminder is about a scheduled talk in Library in Bhandara.	Found
Set me a reminder to dispose the bottle	Found
Reminder to servicing my bike on 23-11-2016,	Found
Remind me to whatsapp sonu bhai	Found
How would you do that	Not Found
Meeting Reminder Date: November 22, 2016 Time: 1 00 PM Meeting with: Delly Venue: Domino's	Found
K..will this call charge me something..or	Found
Remind me I need to go for a car meeting tomorrow	Found
Remind me to get tickets at 2 o'clock	Found
Please remind me at 3:55 PM today to purchase Gift Card	Found
Pls remind me at 8.30am	Not Found
Sorry make correction in name i have to call bhagyshri ok	Found
remind me to transfer money to apartment society for monthly maintenance	Found
Hello puneet if i want to remove this reminder so how can i do that	Not Found
Can u remind me to fill railway form before 24th jan	Found
Yes I want this reminder everyday	Not Found
That reminder is supposed to be for 7 pm shraddha	Found
And remind me to eat Maggi at 5 pm on 28 Dec 2016	Found
Remind me after 5 days to check refund of 199 from haptic and 199 from freecharge	Found
For both reminders, kindly put as notification only. Thank You	Not Found
Help me out with the schedule for mu studies	Not Found
I'm a business man and I have to call or contact many people and sometimes I used to forget things then how this app could help me out?	Found
Plz remind me to book a cab at around 1pm	Found
Remind me tomorrow at 10am	Not Found
Remind me to get ready at 4pm	Found
Reminder me today at 2:30 for Marathon BIB collection from linking road	Found
Reminder for premium payment li	Found
will u please remind me today too	Not Found
Gym remainder	Not Found
Thank you! Also remind me it's for haircut	Not Found
Hey hi actually my meeting on Saturday has been preponed to time at 12 kindly do remind	Found
I think I scheduled by 9 am n 9 pm	Not Found
Pls remind me to give laundry at 6:30 pm	Found
Thanks for reminding me.	Not Found
Remind me at 12.30 pm on 15.11.2016	Not Found
Hey can u pls schedule a reminder of posting a CD post at 2.30 pm	Found
I hve set reminder at 8.30	Not Found
Please set this reminder for daily	Not Found
Can you arrange me for a call back from iffco tokio	Found
U thanks for your reminder	Not Found
I planned to meet my auditor mor 9.00am so set remainder@8.30 am	Found
set walk up reminder on 5:00am	Not Found
Need you to remind everyday	Not Found
Can I add 2-3 to do List reminders at a time?	Not Found
Remind me on Sunday morning 10:30	Not Found
Can you remind I want to go college at 1:00am	Found
Remind me today I am having meeting about my new idea at 8 pm	Found
12.00am	Not Found
Tomorrow pls remind me on 1.00 pm	Not Found
Night at 12am??	Not Found
Remind me to deposit cheque tomorrow	Found
Please remind me for dispatch the Vodafone billing	Found
Tomorrow remember me one's at the same time ok	Not Found
Please remind me again by 11pm	Not Found
Remind me for yoga classes at 5 pm tomarrow.	Found
Hi.. can u plz remind me to deposit my cheque in eve	Found
Dear Customer,your request SR443862263 is registered on 02/12/2016. It will be processed in 3 working days from request date. Talk to ICICI about complaint status afte 3 days	Found
Set my reminder for today to talk with mom about anu boutique at 5 : 30 pm only for today	Found
Reminder to chng atm pin	Found
Hi ... Thanks for the reminder..	Not Found
Remind me to take Money From Nana	Found
Pls set a alarm for daily monday to friday 11.30 am	Not Found
Do you only call or sms also you do or email ?	Found
Hii let me remind to go to shiva house at 8 pm today	Found
Call pappu in 5 min	Found
Where is the 2pm reminder ?	Found
Remind every year	Not Found
I got into schedule	Not Found
Tomorrow	Not Found
I might need two alarms	Not Found
Pls. Remind me tomorrow I will go to d p s school on 11.03 am	Found
Remind me for doctor appointment at 8 December 6.45 PM	Found
And keep calling me unitill i pick up	Found
Remind me to meet SantBetra Ashok in Ghaziabad on 5 November 9 Am	Found
Can u send me all the list of the reminders	Not Found
Remind me on sunday 8 pm to watch movie . Jungle book	Found
Need another reminder	Found
Can you remind me for my today's movie at 11.15?	Found
Please set at	Not Found
Remind me to study at 11:30 AM on 12 November 2016	Found
I have set an alarm everyday	Not Found
Set a reminder at 9 pm today	Not Found
Hi Sayali, can you change these reminders to every 3 hours everyday.. I think now it is set to every 2 hours	Found
What else you can remind me	Not Found
Yes.....can you just remind at 7 pm about my tution	Found
But dear you should have call me on 6 AM	Found
Remind me in at 9 o clock today	Found
Remind me to get Aadhaar card around 9pm tonight	Found
Shraddha I would like to make some corrections to my remainder I would like to have it at 7 pm today instead of 8pm	Found
Dp remind me at 8	Not Found
Please remind me to book a ticket tomorrow at 11:00 am	Found
Remind me to gargle every 2 hours today	Found
Remind me for gym at 5.30 pm today	Found
Can I get a reminder to take a Xerox of my documents tomorrow at 12pm afternoon	Found
The alarm has alreday been set...hope u can see that...	Found
I need to fix the remainder to access the haptick team	Found
Reminde only by text	Not Found
Remind me to fill the time tracker at 8 today	Found
Remind me by every 2hr	Not Found
Good Mrng tell me one thing.... Am I supposed to activate or open hapstick once and only then do I start getting reminders??!!	Found
Please remind me to tell about hashim to My wife	Found
Remind me to sign the form from Attige at 8pm today	Found
Can u call me at 8:35 again	Found
I will.. And thanks for reminders to put reminders..	Found
Hi I'd asked for the reminder to discontinue	Found
Pls Can u remind After 2 hrs for Eyes Drop	Found
Can you pls check do I have any recurring meetings scheduled on every month's first sunday?	Found
u have set reminder every morning 7.55am except saturday sunday.	Not Found
:) Can you remind me to boil my eggs at 5pm?	Found
How will the remainder be	Found
Hi, good morning. Will tell you in a while.	Found
Remind me for booking pass at 3pm bhandup west	Found
Yusuf a slight change in my last reminder	Found
If i activate DND then what about the services I might have registered for will they be blocked as well?	Found
Have you remember I have added a reminder	Not Found
I want to set up a reminder	Not Found
Remind me now after 5mins on 8861530994	Not Found
Thank you for your reminders.	Found
Remind me every 1 hour from 10:00 am to 6:00 pm	Not Found
Daily vll u remind	Not Found
Is this automated reminders or manual?	Found
Thank you for the reminders!	Found
Where is my others reminder ??	Not Found
So 3 reminders total?	Not Found
Remind me to mail team at 11 pm today	Found
so how you will remind me	Not Found
Hey, I got my Journey at 7 pm can u remind me at 3 pm to re check my Reservation status for tmrw	Found
Remind me to go for result	Found
Please call me on 1 June 2017 at 7 pm and continue to call every alternate days till 30 September 2017	Found
Remind me of : Bra CBSE school form Cheque book Old currency	Found
Need a reminder at 11am tomorrow related to stock trading	Found
Remind me to search for the mobile at noon tomorrow	Found
Set a to do reminder	Not Found
Reminder for bank deposit	Found
Meeting Reminder Date: November 8, 2016 Time: 6 23 PM Meeting with: Rumao felix Venue: Vijay sales	Found
Please remind me for lunch at 12:30 pm today	Found
Remind again at 1.30pm	Not Found
Call me at 9 am 11th november	Found
Can you pls remind me every Friday for filling Timesheet	Found
Can you set reminder between 12pm-11pm	Not Found
call me as many times	Not Found
Call back preeti at 3 pm, for confirmation of the meeting	Found
Hey can i get a homework reminder	Not Found
Remind me to do core strengthening exercises at 5:30	Found
Can you tell me why do I have reminder on SATURDAY ?	Not Found
And please remind me to go to computer shop at 11.10 am today	Found
Remind me tmw to meet HR	Found
Remind me to visit the doctor tomorrow at 5 pm	Found
Please remind me by 4	Not Found
This reminder for dr. Appointment	Found
Can you remind me again on Monday?	Not Found
100rupee I hv given to Cook exta..reminder me on 30 Dec 2016	Found
6 AM	Not Found
Are u remind me 8 am to 8 pm	Not Found
wasim there was a reminder set for tomorrow	Not Found
Please send info about taking care of golden retrievers Age: 2-3 years 2 brothers	Found
Remind me for namaz at 1pm every friday	Found
Remind to meet Sahil and tammanna at 11 am & 9 am on Tuesday	Found
Want to import birthdays from Google?	Found
I already did set a reminder n it got disabled.. Y??	Found
Remind me to train ticket for ernakukulam for bijoy at 10.30 am	Found
Can u set a reminder 4 me	Not Found
Can you remind me to book tickets?	Found
Please send me details about this application GEOSENZ	Found
Tomorrow remind me for change of oil of bike on 8.15 am	Found
I want you to remind me meet Sunil at 4pm today	Found
Pooja..please make a single alarm at 9..rest mobile alarm will do..	Found
Can you keep reminder for me	Not Found
Remind me to pray Lord Shiv	Found
Please change my reminder settings to once every 2 hours	Not Found
Reminder to send Anagha Kulkarni premium certificate mail	Found
Go to office. Remind everyday at 8:50.	Found
Set a reminder to wish my friend Kartik a happy birthday at 12 midnight today	Found
How u will remind	Not Found
Next wed	Not Found
Can I send meeting reminder to other person also?	Found
Can u set remainder at 6.15 for a meeting today	Found
Hey prince,thanks for reminding me for so much days. I m habitual of this now. Thanks for ur service	Found
Pls. Discontinue all reminders and alarms.	Found
Please continue reminders till 12 am	Not Found
29 November 2016 remind me about bike service due at 8am	Found
Set the reminder	Not Found
Remind me the above task at 2pm	Not Found
Set a to do list	Not Found
Wanna meet Kishore Sir today. Remind me please	Found
Hey Remaind me tht I have to give info abt smart city	Found
Hey ... Repeat this reminder on each Wednesday	Not Found
Yes please i want to get it done. I have done it several times and still keep getting unwanted calls and messages. It would be great if u can help me with this.	Found
Remind me at 8 30 pm today for watching chandra nandini	Found
Ya will remaind me on January 1 on my flight on January 2	Found
Can you remind me beyond 8 pm	Not Found
12 Jan 2017	Not Found
Please remind me to take my wife to gynecologist tomorrow morning.	Found
Remind me to use my Airtel SIM tomorrow morning	Found
Remind me for every one hour instead of half an hour	Not Found
remind me tomorrow	Not Found
Can u Remind me on coming monday night 11 for closing ISM INCIDENT	Found
It doesn't help me to remind	Found
Remind me to pack up my things at 5pm today	Found
Can we shift it to one hour reminder?	Not Found
Mata ji puja tomorrow plz remind me	Found
Set reminder to carry office clothes	Found
Reminder of noble's birthday at 11:55pm for 17 November 2016	Found
Set reminder for refund	Found
Remind me to ask murtuza about definite integration sums	Found
can u please remind me	Not Found
Deepika I want this reminder for every month on 15th and end of month	Not Found
today my buddy's birthday.	Not Found
Bday reminder	Not Found
Can u remind me after 30 mins	Not Found
Remind me to deactivate roamimg pack at 9 pm today	Found
Call me on 9711360458	Found
Remind me to do my laundry and bring groceries at 7.00 pm	Found
Remind me to wish for my friend's birthday on Jan 9th night at 11:50 pm	Found
Please call me	Not Found
Can u call me	Found
8802086465	Not Found
call on 9638841627	Found
Set a wish reminder every year for haneesh	Found
When I open the aap then only get the remainder....it's useless	Not Found
What about the new 500 & 2000 currency notes.. When they'll released..	Found
Thanks and remind me a few things	Found
Set a Reminder Date: November 30, 2016 Time: 5 00 PM	Not Found
2 reminder	Not Found
Remind me birthday at 11.55 pm On 1 Jan 2017	Found
Tomorrow noon 12 o clock I should set up a reminder	Found
Remind me at 3pm that I have to buy V, go to boutique and also have to go to parlor	Found
Actually i have a doubt about currenct exchange of Rs. 1000	Found
Please change the reminder to every two hours	Not Found
Remind me tomorrow for the following things	Found
Can you remind me to find my earphones	Found
Are u gona call me?	Found
Please remind me to purchase data cable	Found
Will you please remind me of my appointment at 01.30 pm today.	Found
3 alarms	Not Found
Induction - tuesday 11:00 am meeting - wed 4:00 pm	Found
Can you also remind me of getting my suit dry cleaned at 10 am?	Found
Haptik should remind through SMS too.	Found
Remind me to download Bollywood Movies at 9:00PM	Found
8.8.1968	Not Found
Remind me tomorrow morning at 8am for gym ok?	Found
Remind me tomorrow at 12:00pm to prepare a transfer form	Found
Remind me on 15th Dec for leave	Found
REMIND ME TO PAY RENT ON 10/1/17 AT 10 AM	Found
Thank you.. But I was expecting a call	Found
Remind me to send boAt accessories price list to Aakash tomorrow at 11.30am	Found
9685999989	Not Found
if u dnt mine can u cal me n notify me tat reminder	Not Found
Remind me also to renew railway pass on 26th jan 2017 at 8.30 am	Found
Remind me to check mail by 8:30 pm today	Found
November 24th diva and Venkat marriages i should go .. remember me at 7 am and 9 am	Found
Can i ask u something about ur work	Found
Remind me of " take forms to college for TC"	Found
Is dis alarm repeats after certain time intervals	Found
Hi Naresh it's nice to see that you people are reminding about it but I want it to be stopped how can I do that ? Could you pls assist me with that	Found
Remind me after 3 hours	Not Found
Once u remind plz remind again after 15mins	Not Found
Is it necessary to keep my mobile data on for receiving your call?	Found
Ya, pls remain me on Monday 11.30am about a client meeting.	Found
Did u call me also..	Not Found
Anniversary	Not Found
Can you check my number having one remainder at 5 pm	Found
Remind me to take the notes of Planning tomorrow at 5:15 pm	Found
Is internet is required for receiving reminder?	Found
Remind me to Access my tablet from store at 11:00 AM of 19/11/2016	Found
Remind me tomorrow at 12pm regarding standee mold	Not Found
Kindly remind me of booking the ticket for tomorrow	Found
Please remind me for court date ..on 12th January 2017	Found
Please give me a call at 7 in the morning	Found
can you read the name of the person calling me ?	Found
I want some information about temple .can u help me	Found
will you please call to 917017180732	Not Found
I needn't be reminded anymore. Thanks for your help.	Found
Hey set a reminder	Not Found
